IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1500001847,39.7048080,47.2260620,3,0,0,0
1500001848,39.7165770,47.2269970,3,0,0,0
1500001849,39.7191670,47.2283330,1,0,0,0
1500001850,39.7161040,47.2288500,3,0,0,0
1500001851,39.7735820,47.2293450,1,60,0,0
1500001852,39.7032110,47.2294980,1,60,0,0
1500001853,39.6292340,47.2296640,1,0,0,0
1500001854,39.7401200,47.2319810,3,0,0,0
1500001855,39.7327270,47.2323470,1,60,0,0
1500001856,39.6178120,47.2323710,1,40,0,0
1500001857,39.7900160,47.2337680,1,60,0,0
1500001858,39.7892660,47.2340840,1,60,0,0
1500001859,39.7133330,47.2344440,1,0,0,0
1500001860,39.7136500,47.2345720,1,60,0,0
1500001861,39.7059920,47.2346830,1,60,0,0
1500001862,39.7659650,47.2349040,1,60,0,0
1500001863,39.7383380,47.2349890,1,0,0,0
1500001864,39.7006970,47.2357010,1,60,0,0
1500001865,39.7007910,47.2357330,1,60,0,0
1500001866,39.7171960,47.2371970,1,0,0,0
1500001867,39.8157640,47.2372760,1,60,0,0
1500001868,39.6235150,47.2374600,1,60,0,0
1500001869,39.7446370,47.2375150,1,0,0,0
1500001870,39.7441080,47.2376200,1,0,0,0
1500001871,39.6149380,47.2376340,1,0,0,0
1500001872,39.7132940,47.2389380,1,0,0,0
1500001873,39.7135820,47.2401750,1,60,0,0
1500001874,39.6983850,47.2402200,1,60,0,0
1500001875,39.7990000,47.2404370,1,40,0,0
1500001876,39.7131600,47.2404470,1,60,0,0
1500001877,39.6715990,47.2416540,6,0,0,0
1500001878,39.7627440,47.2422930,1,0,0,0
1500001879,39.6978280,47.2424670,1,60,0,0
1500001880,39.7641660,47.2425640,1,0,0,0
1500001881,39.8395850,47.2430430,1,40,0,0
1500001882,39.7666510,47.2435320,1,40,0,0
1500001883,39.7286300,47.2437130,1,60,0,0
1500001884,39.6460530,47.2441220,1,60,0,0
1500001885,39.7724100,47.2465810,1,0,0,0
1500001886,39.7127570,47.2469270,1,60,0,0
1500001887,39.6971240,47.2474110,1,60,0,0
1500001888,39.8436320,47.2476560,1,0,0,0
1500001889,39.6972780,47.2483870,1,0,0,0
1500001890,39.6968990,47.2484340,1,0,0,0
1500001891,39.7510500,47.2492130,1,0,0,0
1500001892,39.7549570,47.2493450,1,0,0,0
1500001893,39.7124420,47.2497850,3,0,0,0
1500001894,39.7140540,47.2526650,1,0,0,0
1500001895,39.7023840,47.2530700,1,0,0,0
1500001896,39.7141840,47.2534490,1,0,0,0
1500001897,39.6937970,47.2539360,1,60,0,0
1500001898,39.7942970,47.2557520,1,60,0,0
1500001899,39.7655980,47.2558520,1,0,0,0
1500001900,39.7644090,47.2561220,1,60,0,0
1500001901,39.6163370,47.2561500,1,60,0,0
1500001902,39.7670750,47.2566040,1,0,0,0
1500001903,39.6973220,47.2567030,1,60,0,0
1500001904,39.6911120,47.2575120,1,0,0,0
1500001905,39.6266960,47.2592860,1,40,0,0
1500001906,39.6907010,47.2594940,1,60,0,0
1500001907,39.6243610,47.2596620,1,0,0,0
1500001908,39.6232480,47.2598230,1,0,0,0
1500001909,39.6741150,47.2602890,1,0,0,0
1500001910,39.6830310,47.2616930,1,60,0,0
1500001911,39.7187500,47.2617660,1,60,0,0
1500001912,39.6837570,47.2625060,1,60,0,0
1500001913,39.6615570,47.2629420,1,60,0,0
1500001914,39.7760560,47.2638800,1,60,0,0
1500001915,39.7144100,47.2645010,1,60,0,0
1500001916,39.7208550,47.2648980,1,60,0,0
1500001917,39.6824380,47.2652060,1,40,0,0
1500001918,39.8182480,47.2680550,1,60,0,0
1500001919,39.6651670,47.2690470,1,60,0,0
1500001920,39.7202550,47.2709950,1,60,0,0
1500001921,39.8222280,47.2735360,1,0,0,0
1500001922,39.7821150,47.2772350,1,0,0,0
1500001923,39.8931700,47.2779800,1,40,0,0
1500001924,39.7502480,47.2786180,1,60,0,0
1500001925,39.7165500,47.2807230,1,60,0,0
1500001926,39.7169650,47.2807720,1,60,0,0
1500001927,39.7069440,47.2810740,1,60,0,0
1500001928,38.9498200,47.2814500,1,50,0,0
1500001929,39.8504530,47.2817040,1,90,0,0
1500001930,39.7586370,47.2826180,1,60,0,0
1500001931,39.7348720,47.2827880,1,60,0,0
1500001932,39.7105400,47.2829340,1,40,0,0
1500001933,39.6902780,47.2830290,1,60,0,0
1500001934,39.8571510,47.2830930,1,60,0,0
1500001935,39.6933170,47.2851120,1,0,0,0
